,Away Team,Home Team,Week,Year,Road Closing Spread,Home Closing Spread
0,GB,CHI,1,2019,3.5,-3.5
1,ATL,MIN,1,2019,3.5,-3.5
2,BAL,MIA,1,2019,-7,7
3,BUF,NYJ,1,2019,2.5,-2.5
4,KC,JAC,1,2019,-3.5,3.5
5,LAR,CAR,1,2019,-1.5,1.5
6,TEN,CLE,1,2019,5.5,-5.5
7,WAS,PHI,1,2019,10.5,-10.5
8,CIN,SEA,1,2019,9.5,-9.5
9,IND,LAC,1,2019,6,-6
10,DET,ARI,1,2019,-2.5,2.5
11,NYG,DAL,1,2019,7,-7
12,SF,TB,1,2019,1,-1
13,PIT,NE,1,2019,5.5,-5.5
14,HOU,NO,1,2019,6.5,-6.5
15,DEN,OAK,1,2019,-3,3
16,ATL,PHI,1,2018,1,-1
17,BUF,BAL,1,2018,7.5,-7.5
18,CIN,IND,1,2018,-1,1
19,HOU,NE,1,2018,6,-6
20,JAC,NYG,1,2018,-2.5,2.5
21,PIT,CLE,1,2018,-3.5,3.5
22,SF,MIN,1,2018,6,-6
23,TB,NO,1,2018,10,-10
24,TEN,MIA,1,2018,-1,1
25,KC,LAC,1,2018,3.5,-3.5
26,DAL,CAR,1,2018,2.5,-2.5
27,SEA,DEN,1,2018,3,-3
28,WAS,ARI,1,2018,2,-2
29,CHI,GB,1,2018,6.5,-6.5
30,NYJ,DET,1,2018,7,-7
31,LAR,OAK,1,2018,-6,6
32,KC,NE,1,2017,8,-8
33,JAC,HOU,1,2017,5.5,-5.5
34,NYJ,BUF,1,2017,7,-7
35,PHI,WAS,1,2017,-2,2
36,OAK,TEN,1,2017,2.5,-2.5
37,ATL,CHI,1,2017,-6.5,6.5
38,BAL,CIN,1,2017,2.5,-2.5
39,PIT,CLE,1,2017,-10,10
40,ARI,DET,1,2017,-2.5,2.5
41,IND,LAR,1,2017,3.5,-3.5
42,SEA,GB,1,2017,2.5,-2.5
43,CAR,SF,1,2017,-4.5,4.5
44,NYG,DAL,1,2017,6,-6
45,NO,MIN,1,2017,3,-3
46,LAC,DEN,1,2017,3,-3
47,TB,MIA,1,2017,-1,1
48,CAR,DEN,1,2016,-3,3
49,BUF,BAL,1,2016,3,-3
50,GB,JAC,1,2016,-3.5,3.5
51,SD,KC,1,2016,6.5,-6.5
52,OAK,NO,1,2016,2.5,-2.5
53,CHI,HOU,1,2016,5.5,-5.5
54,CLE,PHI,1,2016,3.5,-3.5
55,MIN,TEN,1,2016,-2.5,2.5
56,TB,ATL,1,2016,2.5,-2.5
57,CIN,NYJ,1,2016,1,-1
58,MIA,SEA,1,2016,10.5,-10.5
59,NYG,DAL,1,2016,1,-1
60,DET,IND,1,2016,2.5,-2.5
61,NE,ARI,1,2016,9,-9
62,PIT,WAS,1,2016,-2.5,2.5
63,LA,SF,1,2016,-2.5,2.5
64,PIT,NE,1,2015,7.5,-7.5
65,KC,HOU,1,2015,-1,1
66,IND,BUF,1,2015,-1,1
67,GB,CHI,1,2015,-5.5,5.5
68,CAR,JAC,1,2015,-3,3
69,CLE,NYJ,1,2015,3.5,-3.5
70,MIA,WAS,1,2015,-4,4
71,SEA,STL,1,2015,-3.5,3.5
72,DET,SD,1,2015,3.5,-3.5
73,NO,ARI,1,2015,2,-2
74,CIN,OAK,1,2015,-3,3
75,BAL,DEN,1,2015,4.5,-4.5
76,TEN,TB,1,2015,3,-3
77,NYG,DAL,1,2015,7,-7
78,PHI,ATL,1,2015,-3.5,3.5
79,MIN,SF,1,2015,-2.5,2.5
80,GB,SEA,1,2014,4.5,-4.5
81,NO,ATL,1,2014,-3,3
82,MIN,STL,1,2014,3,-3
83,CLE,PIT,1,2014,5.5,-5.5
84,JAC,PHI,1,2014,10,-10
85,OAK,NYJ,1,2014,6.5,-6.5
86,CIN,BAL,1,2014,2.5,-2.5
87,BUF,CHI,1,2014,7,-7
88,WAS,HOU,1,2014,3,-3
89,TEN,KC,1,2014,3,-3
90,NE,MIA,1,2014,-3.5,3.5
91,CAR,TB,1,2014,5.5,-5.5
92,SF,DAL,1,2014,-3.5,3.5
93,IND,DEN,1,2014,8,-8
94,NYG,DET,1,2014,6.5,-6.5
95,SD,ARI,1,2014,3,-3
96,BAL,DEN,1,2013,7.5,-7.5
97,NE,BUF,1,2013,-10,10
98,TEN,PIT,1,2013,6,-6
99,TB,NYJ,1,2013,-4,4
100,ATL,NO,1,2013,3.5,-3.5
101,KC,JAC,1,2013,-3.5,3.5
102,SEA,CAR,1,2013,-3,3
103,CIN,CHI,1,2013,3,-3
104,MIA,CLE,1,2013,2.5,-2.5
105,MIN,DET,1,2013,4,-4
106,OAK,IND,1,2013,11,-11
107,ARI,STL,1,2013,3.5,-3.5
108,GB,SF,1,2013,5,-5
109,NYG,DAL,1,2013,3.5,-3.5
110,PHI,WAS,1,2013,4,-4
111,HOU,SD,1,2013,-5,5
112,DAL,NYG,1,2012,3.5,-3.5
113,IND,CHI,1,2012,10,-10
114,NE,TEN,1,2012,-5,5
115,BUF,NYJ,1,2012,3,-3
116,WAS,NO,1,2012,8.5,-8.5
117,JAC,MIN,1,2012,3.5,-3.5
118,ATL,KC,1,2012,-2.5,2.5
119,PHI,CLE,1,2012,-8.5,8.5
120,STL,DET,1,2012,9,-9
121,MIA,HOU,1,2012,13,-13
122,SF,GB,1,2012,6,-6
123,SEA,ARI,1,2012,-2.5,2.5
124,CAR,TB,1,2012,-3,3
125,PIT,DEN,1,2012,2.5,-2.5
126,CIN,BAL,1,2012,7,-7
127,SD,OAK,1,2012,1,-1
128,NO,GB,1,2011,5,-5
129,PIT,BAL,1,2011,1,-1
130,DET,TB,1,2011,1,-1
131,ATL,CHI,1,2011,-2,2
132,BUF,KC,1,2011,4,-4
133,IND,HOU,1,2011,9,-9
134,PHI,STL,1,2011,-4,4
135,CIN,CLE,1,2011,7,-7
136,TEN,JAC,1,2011,-1,1
137,NYG,WAS,1,2011,-1,1
138,CAR,ARI,1,2011,7,-7
139,SEA,SF,1,2011,6,-6
140,MIN,SD,1,2011,9,-9
141,DAL,NYJ,1,2011,6,-6
142,NE,MIA,1,2011,-7,7
143,OAK,DEN,1,2011,3,-3
144,MIN,NO,1,2010,5,-5
145,CAR,NYG,1,2010,6,-6
146,MIA,BUF,1,2010,-3,3
147,ATL,PIT,1,2010,-1,1
148,DET,CHI,1,2010,7,-7
149,CIN,NE,1,2010,5,-5
150,CLE,TB,1,2010,3,-3
151,DEN,JAC,1,2010,3,-3
152,IND,HOU,1,2010,-2,2
153,OAK,TEN,1,2010,7,-7
154,GB,PHI,1,2010,-3,3
155,SF,SEA,1,2010,-3,3
156,ARI,STL,1,2010,-3,3
157,DAL,WAS,1,2010,-4,4
158,BAL,NYJ,1,2010,2,-2
159,SD,KC,1,2010,-4,4
160,TEN,PIT,1,2009,6,-6
161,MIA,ATL,1,2009,4,-4
162,KC,BAL,1,2009,13,-13
163,PHI,CAR,1,2009,-3,3
164,DEN,CIN,1,2009,5,-5
165,MIN,CLE,1,2009,-4,4
166,NYJ,HOU,1,2009,5,-5
167,JAC,IND,1,2009,6,-6
168,DET,NO,1,2009,14,-14
169,DAL,TB,1,2009,-6,6
170,SF,ARI,1,2009,5,-5
171,WAS,NYG,1,2009,6,-6
172,STL,SEA,1,2009,7,-7
173,CHI,GB,1,2009,5,-5
174,BUF,NE,1,2009,13,-13
175,SD,OAK,1,2009,-10,10
176,WAS,NYG,1,2008,5,-5
177,CIN,BAL,1,2008,-2,2
178,NYJ,MIA,1,2008,-3,3
179,KC,NE,1,2008,17,-17
180,HOU,PIT,1,2008,6,-6
181,JAC,TEN,1,2008,-3,3
182,DET,ATL,1,2008,-3,3
183,SEA,BUF,1,2008,3,-3
184,TB,NO,1,2008,3,-3
185,STL,PHI,1,2008,9,-9
186,DAL,CLE,1,2008,-6,6
187,CAR,SD,1,2008,9,-9
188,ARI,SF,1,2008,-3,3
189,CHI,IND,1,2008,11,-11
190,MIN,GB,1,2008,2,-2
191,DEN,OAK,1,2008,-3,3
192,NO,IND,1,2007,6,-6
193,KC,HOU,1,2007,3,-3
194,DEN,BUF,1,2007,-3,3
195,PIT,CLE,1,2007,-5,5
196,TEN,JAC,1,2007,8,-8
197,CAR,STL,1,2007,2,-2
198,PHI,GB,1,2007,-3,3
199,ATL,MIN,1,2007,3,-3
200,MIA,WAS,1,2007,3,-3
201,NE,NYJ,1,2007,-7,7
202,TB,SEA,1,2007,6,-6
203,CHI,SD,1,2007,7,-7
204,DET,OAK,1,2007,3,-3
205,NYG,DAL,1,2007,6,-6
206,BAL,CIN,1,2007,3,-3
207,ARI,SF,1,2007,4,-4
208,TB,CAR,2,2019,6.5,-6.5
209,ARI,BAL,2,2019,13,-13
210,BUF,NYG,2,2019,-1,1
211,DAL,WAS,2,2019,-6,6
212,IND,TEN,2,2019,3,-3
213,JAC,HOU,2,2019,7.5,-7.5
214,LAC,DET,2,2019,-1,1
215,MIN,GB,2,2019,3,-3
216,NE,MIA,2,2019,-18,18
217,SF,CIN,2,2019,1,-1
218,SEA,PIT,2,2019,4,-4
219,KC,OAK,2,2019,-7,7
220,CHI,DEN,2,2019,-3,3
221,NO,LAR,2,2019,2,-2
222,PHI,ATL,2,2019,-1,1
223,CLE,NYJ,2,2019,-6.5,6.5
224,BAL,CIN,2,2018,1,-1
225,CAR,ATL,2,2018,5.5,-5.5
226,CLE,NO,2,2018,10,-10
227,HOU,TEN,2,2018,-3.5,3.5
228,IND,WAS,2,2018,6,-6
229,KC,PIT,2,2018,4.5,-4.5
230,LAC,BUF,2,2018,-7.5,7.5
231,MIA,NYJ,2,2018,3,-3
232,MIN,GB,2,2018,-2,2
233,PHI,TB,2,2018,-3,3
234,ARI,LAR,2,2018,13.5,-13.5
235,DET,SF,2,2018,6,-6
236,OAK,DEN,2,2018,5.5,-5.5
237,NE,JAC,2,2018,-2,2
238,NYG,DAL,2,2018,3,-3
239,SEA,CHI,2,2018,5,-5
240,HOU,CIN,2,2017,5.5,-5.5
241,MIN,PIT,2,2017,8.5,-8.5
242,CLE,BAL,2,2017,7.5,-7.5
243,CHI,TB,2,2017,7,-7
244,BUF,CAR,2,2017,6.5,-6.5
245,ARI,IND,2,2017,-7,7
246,TEN,JAC,2,2017,-1,1
247,PHI,KC,2,2017,4,-4
248,NE,NO,2,2017,-5.5,5.5
249,NYJ,OAK,2,2017,14,-14
250,MIA,LAC,2,2017,3.5,-3.5
251,DAL,DEN,2,2017,-2.5,2.5
252,WAS,LAR,2,2017,3,-3
253,SF,SEA,2,2017,13.5,-13.5
254,GB,ATL,2,2017,3.5,-3.5
255,DET,NYG,2,2017,3,-3
256,NYJ,BUF,2,2016,1.5,-1.5
257,NO,NYG,2,2016,3.5,-3.5
258,KC,HOU,2,2016,-1,1
259,CIN,PIT,2,2016,3,-3
260,DAL,WAS,2,2016,3.5,-3.5
261,MIA,NE,2,2016,5.5,-5.5
262,TEN,DET,2,2016,6,-6
263,BAL,CLE,2,2016,-4,4
264,SF,CAR,2,2016,12,-12
265,TB,ARI,2,2016,7.5,-7.5
266,SEA,LA,2,2016,-5.5,5.5
267,IND,DEN,2,2016,5,-5
268,JAC,SD,2,2016,3,-3
269,ATL,OAK,2,2016,4,-4
270,GB,MIN,2,2016,-1.5,1.5
271,PHI,CHI,2,2016,3,-3
272,DEN,KC,2,2015,3,-3
273,DET,MIN,2,2015,2.5,-2.5
274,ARI,CHI,2,2015,-2,2
275,TEN,CLE,2,2015,1,-1
276,NE,BUF,2,2015,2,-2
277,HOU,CAR,2,2015,3,-3
278,SF,PIT,2,2015,6,-6
279,SD,CIN,2,2015,3.5,-3.5
280,STL,WAS,2,2015,-3,3
281,ATL,NYG,2,2015,2,-2
282,TB,NO,2,2015,9.5,-9.5
283,BAL,OAK,2,2015,-6,6
284,MIA,JAC,2,2015,-5,5
285,DAL,PHI,2,2015,7,-7
286,SEA,GB,2,2015,3.5,-3.5
287,NYJ,IND,2,2015,6,-6
288,PIT,BAL,2,2014,2.5,-2.5
289,MIA,BUF,2,2014,1,-1
290,JAC,WAS,2,2014,5,-5
291,DAL,TEN,2,2014,3,-3
292,ARI,NYG,2,2014,1,-1
293,NE,MIN,2,2014,-3.5,3.5
294,NO,CLE,2,2014,-4.5,4.5
295,ATL,CIN,2,2014,5.5,-5.5
296,DET,CAR,2,2014,1,-1
297,STL,TB,2,2014,4,-4
298,SEA,SD,2,2014,-4.5,4.5
299,HOU,OAK,2,2014,-3,3
300,NYJ,GB,2,2014,7,-7
301,KC,DEN,2,2014,13,-13
302,CHI,SF,2,2014,7,-7
303,PHI,IND,2,2014,3,-3
304,NYJ,NE,2,2013,10.5,-10.5
305,STL,ATL,2,2013,4,-4
306,SD,PHI,2,2013,7.5,-7.5
307,DAL,KC,2,2013,3,-3
308,MIA,IND,2,2013,1,-1
309,TEN,HOU,2,2013,7.5,-7.5
310,WAS,GB,2,2013,9,-9
311,CLE,BAL,2,2013,5.5,-5.5
312,CAR,BUF,2,2013,-3.5,3.5
313,MIN,CHI,2,2013,6,-6
314,NO,TB,2,2013,-3,3
315,DET,ARI,2,2013,-1,1
316,JAC,OAK,2,2013,3.5,-3.5
317,DEN,NYG,2,2013,-3.5,3.5
318,SF,SEA,2,2013,3,-3
319,PIT,CIN,2,2013,7,-7
320,CHI,GB,2,2012,5,-5
321,KC,BUF,2,2012,3,-3
322,BAL,PHI,2,2012,3,-3
323,TB,NYG,2,2012,9,-9
324,ARI,NE,2,2012,13,-13
325,HOU,JAC,2,2012,-6.5,6.5
326,MIN,IND,2,2012,-3,3
327,CLE,CIN,2,2012,7,-7
328,NO,CAR,2,2012,-3,3
329,OAK,MIA,2,2012,-1,1
330,WAS,STL,2,2012,-3.5,3.5
331,DAL,SEA,2,2012,-3,3
332,TEN,SD,2,2012,6.5,-6.5
333,NYJ,PIT,2,2012,4.5,-4.5
334,DET,SF,2,2012,7,-7
335,DEN,ATL,2,2012,3,-3
336,CHI,NO,2,2011,5,-5
337,KC,DET,2,2011,8,-8
338,JAC,NYJ,2,2011,9,-9
339,OAK,BUF,2,2011,4,-4
340,ARI,WAS,2,2011,5,-5
341,BAL,TEN,2,2011,-6,6
342,SEA,PIT,2,2011,14,-14
343,GB,CAR,2,2011,-11,11
344,TB,MIN,2,2011,0,0
345,CLE,IND,2,2011,-2,2
346,DAL,SF,2,2011,-3,3
347,HOU,MIA,2,2011,-3,3
348,SD,NE,2,2011,6,-6
349,CIN,DEN,2,2011,3,-3
350,PHI,ATL,2,2011,-3,3
351,STL,NYG,2,2011,7,-7
352,KC,CLE,2,2010,3,-3
353,BUF,GB,2,2010,13,-13
354,BAL,CIN,2,2010,-3,3
355,PIT,TEN,2,2010,6,-6
356,PHI,DET,2,2010,-7,7
357,CHI,DAL,2,2010,7,-7
358,TB,CAR,2,2010,4,-4
359,ARI,ATL,2,2010,7,-7
360,MIA,MIN,2,2010,6,-6
361,STL,OAK,2,2010,3,-3
362,SEA,DEN,2,2010,3,-3
363,HOU,WAS,2,2010,-3,3
364,JAC,SD,2,2010,7,-7
365,NE,NYJ,2,2010,-3,3
366,NYG,IND,2,2010,4,-4
367,NO,SF,2,2010,-5,5
368,OAK,KC,2,2009,3,-3
369,HOU,TEN,2,2009,7,-7
370,NE,NYJ,2,2009,-3,3
371,CIN,GB,2,2009,10,-10
372,MIN,DET,2,2009,-10,10
373,NO,PHI,2,2009,0,0
374,CAR,ATL,2,2009,6,-6
375,STL,WAS,2,2009,10,-10
376,ARI,JAC,2,2009,3,-3
377,SEA,SF,2,2009,2,-2
378,TB,BUF,2,2009,6,-6
379,CLE,DEN,2,2009,3,-3
380,BAL,SD,2,2009,3,-3
381,PIT,CHI,2,2009,-3,3
382,NYG,DAL,2,2009,3,-3
383,IND,MIA,2,2009,-3,3
384,OAK,KC,2,2008,3,-3
385,TEN,CIN,2,2008,-1,1
386,IND,MIN,2,2008,0,0
387,NO,WAS,2,2008,0,0
388,GB,DET,2,2008,-3,3
389,CHI,CAR,2,2008,3,-3
390,NYG,STL,2,2008,-8,8
391,BUF,JAC,2,2008,4,-4
392,ATL,TB,2,2008,7,-7
393,SF,SEA,2,2008,6,-6
394,MIA,ARI,2,2008,6,-6
395,NE,NYJ,2,2008,-1,1
396,SD,DEN,2,2008,2,-2
397,PIT,CLE,2,2008,-6,6
398,PHI,DAL,2,2008,7,-7
399,BUF,PIT,2,2007,10,-10
400,CIN,CLE,2,2007,-7,7
401,IND,TEN,2,2007,-7,7
402,HOU,CAR,2,2007,7,-7
403,SF,STL,2,2007,3,-3
404,GB,NYG,2,2007,3,-3
405,ATL,JAC,2,2007,10,-10
406,NO,TB,2,2007,-6,6
407,MIN,DET,2,2007,3,-3
408,DAL,MIA,2,2007,-3,3
409,SEA,ARI,2,2007,-3,3
410,NYJ,BAL,2,2007,10,-10
411,OAK,DEN,2,2007,10,-10
412,KC,CHI,2,2007,12,-12
413,SD,NE,2,2007,4,-4
414,WAS,PHI,2,2007,7,-7
415,TEN,JAC,3,2019,-1.5,1.5
416,ATL,IND,3,2019,1,-1
417,BAL,KC,3,2019,4.5,-4.5
418,CIN,BUF,3,2019,5.5,-5.5
419,DEN,GB,3,2019,7,-7
420,DET,PHI,3,2019,4,-4
421,MIA,DAL,3,2019,22,-22
422,NYJ,NE,3,2019,20.5,-20.5
423,OAK,MIN,3,2019,8.5,-8.5
424,CAR,ARI,3,2019,2.5,-2.5
425,NYG,TB,3,2019,5,-5
426,HOU,LAC,3,2019,3,-3
427,NO,SEA,3,2019,5,-5
428,PIT,SF,3,2019,6,-6
429,LAR,CLE,3,2019,-4,4
430,CHI,WAS,3,2019,-5,5
431,NYJ,CLE,3,2018,3,-3
432,BUF,MIN,3,2018,16.5,-16.5
433,CIN,CAR,3,2018,2.5,-2.5
434,DEN,BAL,3,2018,5.5,-5.5
435,GB,WAS,3,2018,-2.5,2.5
436,IND,PHI,3,2018,6.5,-6.5
437,NO,ATL,3,2018,1.5,-1.5
438,NYG,HOU,3,2018,6.5,-6.5
439,OAK,MIA,3,2018,3,-3
440,SF,KC,3,2018,6,-6
441,TEN,JAC,3,2018,10,-10
442,LAC,LAR,3,2018,7.5,-7.5
443,CHI,ARI,3,2018,-6,6
444,DAL,SEA,3,2018,1,-1
445,NE,DET,3,2018,-7,7
446,PIT,TB,3,2018,1,-1
447,LAR,SF,3,2017,-3,3
448,BAL,JAC,3,2017,-3,3
449,ATL,DET,3,2017,-3,3
450,CLE,IND,3,2017,1,-1
451,TB,MIN,3,2017,0,0
452,HOU,NE,3,2017,13.5,-13.5
453,MIA,NYJ,3,2017,-5.5,5.5
454,NYG,PHI,3,2017,5,-5
455,DEN,BUF,3,2017,-3.5,3.5
456,NO,CAR,3,2017,5.5,-5.5
457,PIT,CHI,3,2017,-7,7
458,SEA,TEN,3,2017,2,-2
459,CIN,GB,3,2017,7,-7
460,KC,LAC,3,2017,-3,3
461,OAK,WAS,3,2017,-3.5,3.5
462,DAL,ARI,3,2017,-3,3
463,HOU,NE,3,2016,0,0
464,MIN,CAR,3,2016,6,-6
465,DET,GB,3,2016,8.5,-8.5
466,BAL,JAC,3,2016,-1,1
467,ARI,BUF,3,2016,-5,5
468,OAK,TEN,3,2016,-1.5,1.5
469,CLE,MIA,3,2016,10,-10
470,WAS,NYG,3,2016,3.5,-3.5
471,DEN,CIN,3,2016,3.5,-3.5
472,SF,SEA,3,2016,10.5,-10.5
473,LA,TB,3,2016,3.5,-3.5
474,NYJ,KC,3,2016,3,-3
475,SD,IND,3,2016,1.5,-1.5
476,PIT,PHI,3,2016,-3.5,3.5
477,CHI,DAL,3,2016,6.5,-6.5
478,ATL,NO,3,2016,2.5,-2.5
479,WAS,NYG,3,2015,3,-3
480,SD,MIN,3,2015,2.5,-2.5
481,OAK,CLE,3,2015,3.5,-3.5
482,CIN,BAL,3,2015,2.5,-2.5
483,NO,CAR,3,2015,10,-10
484,ATL,DAL,3,2015,1,-1
485,TB,HOU,3,2015,6,-6
486,IND,TEN,3,2015,-3,3
487,PIT,STL,3,2015,1.5,-1.5
488,JAC,NE,3,2015,14.5,-14.5
489,PHI,NYJ,3,2015,3,-3
490,SF,ARI,3,2015,7,-7
491,CHI,SEA,3,2015,16.5,-16.5
492,BUF,MIA,3,2015,1,-1
493,DEN,DET,3,2015,-3,3
494,KC,GB,3,2015,4.5,-4.5
495,TB,ATL,3,2014,6.5,-6.5
496,SD,BUF,3,2014,2.5,-2.5
497,DAL,STL,3,2014,-1.5,1.5
498,WAS,PHI,3,2014,4,-4
499,HOU,NYG,3,2014,1,-1
500,MIN,NO,3,2014,10,-10
501,TEN,CIN,3,2014,6.5,-6.5
502,BAL,CLE,3,2014,-2,2
503,GB,DET,3,2014,1.5,-1.5
504,IND,JAC,3,2014,-6,6
505,OAK,NE,3,2014,14,-14
506,SF,ARI,3,2014,-3,3
507,DEN,SEA,3,2014,4,-4
508,KC,MIA,3,2014,6,-6
509,PIT,CAR,3,2014,3,-3
510,CHI,NYJ,3,2014,1.5,-1.5
511,KC,PHI,3,2013,3,-3
512,HOU,BAL,3,2013,1,-1
513,DET,WAS,3,2013,-1,1
514,SD,TEN,3,2013,3,-3
515,ARI,NO,3,2013,8,-8
516,TB,NE,3,2013,7.5,-7.5
517,CLE,MIN,3,2013,7,-7
518,NYG,CAR,3,2013,-1,1
519,GB,CIN,3,2013,-3,3
520,STL,DAL,3,2013,3.5,-3.5
521,ATL,MIA,3,2013,3,-3
522,BUF,NYJ,3,2013,2.5,-2.5
523,JAC,SEA,3,2013,19.5,-19.5
524,IND,SF,3,2013,10.5,-10.5
525,CHI,PIT,3,2013,-2.5,2.5
526,OAK,DEN,3,2013,16,-16
527,NYG,CAR,3,2012,2.5,-2.5
528,STL,CHI,3,2012,7,-7
529,CIN,WAS,3,2012,3,-3
530,DET,TEN,3,2012,-3.5,3.5
531,KC,NO,3,2012,9,-9
532,SF,MIN,3,2012,-6.5,6.5
533,NYJ,MIA,3,2012,-2.5,2.5
534,BUF,CLE,3,2012,-2.5,2.5
535,TB,DAL,3,2012,7,-7
536,JAC,IND,3,2012,3,-3
537,ATL,SD,3,2012,3,-3
538,PHI,ARI,3,2012,-3,3
539,PIT,OAK,3,2012,-3.5,3.5
540,HOU,DEN,3,2012,-1,1
541,NE,BAL,3,2012,2.5,-2.5
542,GB,SEA,3,2012,-3,3
543,SF,CIN,3,2011,2,-2
544,NE,BUF,3,2011,-7,7
545,HOU,NO,3,2011,3,-3
546,NYG,PHI,3,2011,8,-8
547,MIA,CLE,3,2011,-2,2
548,DEN,TEN,3,2011,7,-7
549,DET,MIN,3,2011,-3,3
550,JAC,CAR,3,2011,3,-3
551,KC,SD,3,2011,14,-14
552,NYJ,OAK,3,2011,-3,3
553,BAL,STL,3,2011,-5,5
554,ATL,TB,3,2011,1,-1
555,ARI,SEA,3,2011,-3,3
556,GB,CHI,3,2011,-4,4
557,PIT,IND,3,2011,-10.5,10.5
558,WAS,DAL,3,2011,3.5,-3.5
559,TEN,NYG,3,2010,3,-3
560,BUF,NE,3,2010,15,-15
561,CLE,BAL,3,2010,13,-13
562,PIT,TB,3,2010,-3,3
563,CIN,CAR,3,2010,-3,3
564,ATL,NO,3,2010,3,-3
565,SF,KC,3,2010,-3,3
566,DET,MIN,3,2010,13,-13
567,DAL,HOU,3,2010,3,-3
568,WAS,STL,3,2010,-5,5
569,PHI,JAC,3,2010,-3,3
570,IND,DEN,3,2010,-6,6
571,SD,SEA,3,2010,-4,4
572,OAK,ARI,3,2010,6,-6
573,NYJ,MIA,3,2010,2,-2
574,GB,CHI,3,2010,-3,3
575,TEN,NYJ,3,2009,1,-1
576,JAC,HOU,3,2009,4,-4
577,KC,PHI,3,2009,8,-8
578,CLE,BAL,3,2009,8,-8
579,NYG,TB,3,2009,4,-4
580,WAS,DET,3,2009,4,-4
581,GB,STL,3,2009,-7,7
582,SF,MIN,3,2009,-4,4
583,ATL,NE,3,2009,-4,4
584,CHI,SEA,3,2009,4,-4
